Peak,Trough,Contraction,Expansion,Trough from Trough,Peak from peak
1902-09,1904-08,23,21,44,39
1907-05,1908-06,13,33,46,56
1910-01,1912-01,24,19,43,32
1913-01,1914-12,23,12,35,36
1918-08,1919-03,7,44,51,67
1920-01,1921-07,18,10,28,17
1923-05,1924-07,14,22,36,40
1926-10,1927-11,13,27,40,41
1929-08,1933-03,43,21,64,34
1937-05,1938-06,13,50,63,93
1945-02,1945-10,8,80,88,93
1948-11,1949-10,11,37,48,45
1953-07,1954-05,10,45,55,56
1957-08,1958-04,8,39,47,49
1960-04,1961-02,10,24,34,32
1969-12,1970-11,11,106,117,116
1973-11,1975-03,16,36,52,47
1980-01,1980-07,6,58,64,74
1981-07,1982-11,16,12,28,18
1990-07,1991-03,8,92,100,108
2001-03,2001-11,8,120,128,128
2007-12,2009-06,18,73,91,81
